numberOfAgents,numberOfCallsPerDay,averageHandleTimeSec,estimatedDurationDays,slaTargetSeconds,risksScore,callTypes,dependencies,CSAT,FCR,estimatedBudgetTND
21,320,285,88,90,0.19,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.62,80640.00
22,335,275,92,88,0.18,"Support;Tech","CRM;AI;WFM",4.5,0.63,84480.00
23,350,265,96,86,0.17,"Support;Sales","CRM;AI;WFM",4.5,0.64,88320.00
24,365,255,100,84,0.16,"Support;Tech","CRM;AI;WFM",4.6,0.65,92160.00
25,380,245,104,82,0.15,"Support;Sales;Tech","CRM;AI;WFM",4.6,0.66,96000.00
26,395,235,108,80,0.14,"Support;Tech","CRM;AI;WFM",4.6,0.67,99840.00
27,410,225,112,78,0.13,"Support;Sales","CRM;AI;WFM",4.7,0.68,103680.00
28,425,215,116,76,0.12,"Support;Tech","CRM;AI;WFM",4.7,0.69,107520.00
29,440,205,120,74,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.7,0.70,111360.00
30,455,195,124,72,0.10,"Support;Tech","CRM;AI;WFM",4.8,0.71,115200.00
31,470,190,128,70,0.10,"Support;Sales","CRM;AI;WFM",4.8,0.72,119040.00
32,485,185,132,68,0.09,"Support;Tech","CRM;AI;WFM",4.8,0.73,122880.00
33,500,180,136,66,0.09,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.74,126720.00
34,515,175,140,64,0.08,"Support;Tech","CRM;AI;WFM",4.9,0.75,130560.00
35,530,170,144,62,0.08,"Support;Sales","CRM;AI;WFM",4.9,0.76,134400.00
36,545,165,148,60,0.07,"Support;Tech","CRM;AI;WFM",4.9,0.77,138240.00
37,560,160,152,58,0.07,"Support;Sales;Tech","CRM;AI;WFM",4.9,0.78,142080.00
38,575,155,156,56,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.79,145920.00
39,590,150,160,54,0.06,"Support;Sales","CRM;AI;WFM",5.0,0.80,149760.00
40,605,148,164,53,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.81,153600.00
41,620,146,168,52,0.05,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.82,157440.00
42,635,144,172,51,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.83,161280.00
43,650,142,176,50,0.05,"Support;Sales","CRM;AI;WFM",5.0,0.84,165120.00
44,665,140,180,49,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.85,168960.00
45,680,138,184,48,0.04,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.86,172800.00
46,695,136,188,47,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.87,176640.00
47,710,134,192,46,0.04,"Support;Sales","CRM;AI;WFM",5.0,0.88,180480.00
48,725,132,196,45,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.89,184320.00
49,740,130,200,44,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.90,188160.00
50,755,128,204,43,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.91,192000.00
51,770,126,208,42,0.03,"Support;Sales","CRM;AI;WFM",5.0,0.92,195840.00
52,785,124,212,41,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.93,199680.00
53,800,122,216,40,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.94,203520.00
54,815,120,220,39,0.02,"Support;Tech","CRM;AI;WFM",5.0,0.95,207360.00
55,830,118,224,38,0.02,"Support;Sales","CRM;AI;WFM",5.0,0.96,211200.00
56,845,116,228,37,0.02,"Support;Tech","CRM;AI;WFM",5.0,0.97,215040.00
57,860,114,232,36,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.98,218880.00
58,875,112,236,35,0.02,"Support;Tech","CRM;AI;WFM",5.0,0.99,222720.00
59,890,110,240,34,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,226560.00
60,905,108,244,33,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,230400.00
61,920,106,248,32,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,234240.00
62,935,104,252,31,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,238080.00
63,950,102,256,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,241920.00
64,965,100,260,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,245760.00
65,980,98,264,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,249600.00
66,995,96,268,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,253440.00
67,1010,94,272,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,257280.00
68,1025,92,276,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,261120.00
69,1040,90,280,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,264960.00
70,1055,88,284,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,268800.00
71,1070,86,288,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,272640.00
72,1085,84,292,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,276480.00
73,1100,82,296,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,280320.00
74,1115,80,300,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,284160.00
75,1130,78,304,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,288000.00
76,1145,76,308,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,291840.00
77,1160,74,312,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,295680.00
78,1175,72,316,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,299520.00
79,1190,70,320,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,303360.00
80,1205,68,324,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,307200.00
81,1220,66,328,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,311040.00
82,1235,64,332,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,314880.00
83,1250,62,336,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,318720.00
84,1265,60,340,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,322560.00
85,1280,58,344,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,326400.00
86,1295,56,348,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,330240.00
87,1310,54,352,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,334080.00
88,1325,52,356,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,337920.00
89,1340,50,360,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,341760.00
90,1355,48,364,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,345600.00
91,1370,46,368,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,349440.00
92,1385,44,372,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,353280.00
93,1400,42,376,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,357120.00
94,1415,40,380,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,360960.00
95,1430,38,384,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,364800.00
96,1445,36,388,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,368640.00
97,1460,34,392,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,372480.00
98,1475,32,396,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,376320.00
99,1490,30,400,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,380160.00
100,1505,28,404,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,384000.00
5,210,340,95,85,0.21,"Support;Sales","CRM;IVR",4.1,0.66,151200.00
7,330,300,120,70,0.18,"Support;Tech","CRM;WFM",4.3,0.71,237600.00
9,420,280,140,65,0.16,"Support","CRM;Training",4.2,0.69,302400.00
11,480,260,160,60,0.15,"Support;Sales","CRM;AI",4.4,0.72,369600.00
13,540,240,180,55,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.74,432000.00
6,190,360,85,90,0.22,"Sales","None",3.9,0.50,129600.00
8,250,320,110,80,0.19,"Support;Sales","CRM",4.0,0.58,201600.00
10,300,310,130,78,0.18,"Support;Tech","CRM;CTI",4.1,0.60,230400.00
12,360,295,150,75,0.17,"Support;Sales;Tech","CRM;WFM",4.2,0.63,302400.00
14,420,285,170,72,0.16,"Support;Tech","CRM;AI",4.3,0.66,374400.00
4,140,420,60,110,0.28,"Sales","None",3.7,0.45,80640.00
3,100,480,45,120,0.32,"Sales","None",3.6,0.42,57600.00
2,60,600,30,140,0.40,"Sales","None",3.4,0.36,34560.00
15,700,250,200,50,0.12,"Support;Sales;Tech","CRM;AI;WFM",4.6,0.75,504000.00
17,820,230,220,48,0.11,"Support;Tech","CRM;AI;CTI",4.7,0.77,590400.00
19,940,220,240,46,0.10,"Support;Sales","CRM;AI;WFM",4.7,0.78,691200.00
21,1050,210,260,44,0.09,"Support;Tech","CRM;AI;WFM",4.8,0.79,806400.00
23,1160,200,280,42,0.09,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.80,921600.00
25,1280,195,300,40,0.08,"Support;Tech","CRM;AI;WFM",4.9,0.81,1036800.00
27,1400,190,320,38,0.08,"Support;Sales","CRM;AI;WFM",4.9,0.82,1152000.00
29,1520,185,340,36,0.07,"Support;Tech","CRM;AI;WFM",5.0,0.83,1267200.00
31,1640,180,360,35,0.07,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.84,1382400.00
33,1760,175,380,34,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.85,1497600.00
35,1880,170,400,33,0.06,"Support;Sales","CRM;AI;WFM",5.0,0.86,1612800.00
37,2000,165,420,32,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.87,1728000.00
39,2120,160,440,31,0.05,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.88,1843200.00
41,2240,155,460,30,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.89,1958400.00
43,2360,150,480,30,0.05,"Support;Sales","CRM;AI;WFM",5.0,0.90,2073600.00
45,2480,148,500,30,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.91,2188800.00
47,2600,146,520,30,0.04,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.92,2304000.00
49,2720,144,540,30,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.93,2419200.00
51,2840,142,560,30,0.04,"Support;Sales","CRM;AI;WFM",5.0,0.94,2534400.00
53,2960,140,580,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.95,2649600.00
55,3080,138,600,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.96,2764800.00
57,3200,136,620,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.97,2880000.00
59,3320,134,640,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,0.98,2995200.00
61,3440,132,660,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.99,3110400.00
63,3560,130,680,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3225600.00
4,95,410,48,112,0.27,"Sales","None",3.6,0.44,86400.00
6,130,360,72,98,0.23,"Support;Sales","CRM",3.8,0.52,144000.00
8,170,330,96,88,0.20,"Support;Tech","CRM;IVR",4.0,0.57,216000.00
10,210,310,120,80,0.18,"Support;Sales","CRM;WFM",4.1,0.60,288000.00
12,250,295,144,76,0.17,"Support;Tech","CRM;AI",4.2,0.62,360000.00
14,290,285,168,74,0.16,"Support;Sales;Tech","CRM;AI;WFM",4.3,0.64,432000.00
16,330,275,192,72,0.15,"Support;Tech","CRM;AI;WFM",4.3,0.65,504000.00
18,370,265,216,70,0.14,"Support;Sales","CRM;AI;WFM",4.4,0.66,576000.00
20,410,255,240,68,0.13,"Support;Tech","CRM;AI;WFM",4.4,0.67,648000.00
22,450,245,264,66,0.12,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.68,720000.00
24,490,235,288,64,0.12,"Support;Tech","CRM;AI;WFM",4.5,0.69,792000.00
26,530,225,312,62,0.11,"Support;Sales","CRM;AI;WFM",4.6,0.70,864000.00
28,570,215,336,60,0.11,"Support;Tech","CRM;AI;WFM",4.6,0.71,936000.00
30,610,205,360,58,0.10,"Support;Sales;Tech","CRM;AI;WFM",4.6,0.72,1008000.00
32,650,200,384,56,0.10,"Support;Tech","CRM;AI;WFM",4.7,0.73,1080000.00
34,690,195,408,54,0.09,"Support;Sales","CRM;AI;WFM",4.7,0.74,1152000.00
36,730,190,432,52,0.09,"Support;Tech","CRM;AI;WFM",4.7,0.75,1224000.00
38,770,185,456,50,0.08,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.76,1296000.00
40,810,180,480,48,0.08,"Support;Tech","CRM;AI;WFM",4.8,0.77,1368000.00
42,850,175,504,46,0.08,"Support;Sales","CRM;AI;WFM",4.8,0.78,1440000.00
44,890,170,528,44,0.07,"Support;Tech","CRM;AI;WFM",4.9,0.79,1512000.00
46,930,165,552,42,0.07,"Support;Sales;Tech","CRM;AI;WFM",4.9,0.80,1584000.00
48,970,160,576,40,0.07,"Support;Tech","CRM;AI;WFM",4.9,0.81,1656000.00
50,1010,155,600,38,0.06,"Support;Sales","CRM;AI;WFM",5.0,0.82,1728000.00
52,1050,150,624,36,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.83,1800000.00
54,1090,148,648,35,0.06,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.84,1872000.00
56,1130,146,672,34,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.85,1944000.00
58,1170,144,696,33,0.05,"Support;Sales","CRM;AI;WFM",5.0,0.86,2016000.00
60,1210,142,720,32,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.87,2088000.00
62,1250,140,744,31,0.05,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.88,2160000.00
64,1290,138,768,30,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.89,2232000.00
66,1330,136,792,30,0.04,"Support;Sales","CRM;AI;WFM",5.0,0.90,2304000.00
68,1370,134,816,30,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.91,2376000.00
70,1410,132,840,30,0.04,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.92,2448000.00
72,1450,130,864,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.93,2520000.00
74,1490,128,888,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,0.94,2592000.00
76,1530,126,912,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.95,2664000.00
78,1570,124,936,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.96,2736000.00
80,1610,122,960,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.97,2808000.00
82,1650,120,984,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,0.98,2880000.00
84,1690,118,1008,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,0.99,2952000.00
86,1730,116,1032,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3024000.00
88,1770,114,1056,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3096000.00
90,1810,112,1080,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,3168000.00
92,1850,110,1104,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3240000.00
94,1890,108,1128,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3312000.00
96,1930,106,1152,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3384000.00
98,1970,104,1176,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,3456000.00
100,2010,102,1200,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3528000.00
102,2050,100,1224,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3600000.00
104,2090,98,1248,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3672000.00
106,2130,96,1272,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,3744000.00
108,2170,94,1296,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3816000.00
110,2210,92,1320,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3888000.00
112,2250,90,1344,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3960000.00
114,2290,88,1368,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,4032000.00
116,2330,86,1392,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4104000.00
118,2370,84,1416,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,4176000.00
120,2410,82,1440,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4248000.00
122,2450,80,1464,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,4320000.00
124,2490,78,1488,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4392000.00
126,2530,76,1512,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,4464000.00
128,2570,74,1536,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4536000.00
130,2610,72,1560,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,4608000.00
132,2650,70,1584,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4680000.00
134,2690,68,1608,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,4752000.00
136,2730,66,1632,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4824000.00
138,2770,64,1656,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,4896000.00
140,2810,62,1680,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4968000.00
5,220,340,95,85,0.21,"Support;Sales","CRM;IVR",4.1,0.66,151200.00
7,330,300,120,70,0.18,"Support;Tech","CRM;WFM",4.3,0.71,237600.00
9,420,280,140,65,0.16,"Support","CRM;Training",4.2,0.69,302400.00
11,480,260,160,60,0.15,"Support;Sales","CRM;AI",4.4,0.72,369600.00
13,540,240,180,55,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.74,432000.00
6,190,360,85,90,0.22,"Sales","None",3.9,0.50,129600.00
8,250,320,110,80,0.19,"Support;Sales","CRM",4.0,0.58,201600.00
10,300,310,130,78,0.18,"Support;Tech","CRM;CTI",4.1,0.60,230400.00
12,360,295,150,75,0.17,"Support;Sales;Tech","CRM;WFM",4.2,0.63,302400.00
14,420,285,170,72,0.16,"Support;Tech","CRM;AI",4.3,0.66,374400.00
4,140,420,60,110,0.28,"Sales","None",3.7,0.45,80640.00
3,100,480,45,120,0.32,"Sales","None",3.6,0.42,57600.00
2,60,600,30,140,0.40,"Sales","None",3.4,0.36,34560.00
15,700,250,200,50,0.12,"Support;Sales;Tech","CRM;AI;WFM",4.6,0.75,504000.00
17,820,230,220,48,0.11,"Support;Tech","CRM;AI;CTI",4.7,0.77,590400.00
19,940,220,240,46,0.10,"Support;Sales","CRM;AI;WFM",4.7,0.78,691200.00
21,1050,210,260,44,0.09,"Support;Tech","CRM;AI;WFM",4.8,0.79,806400.00
23,1160,200,280,42,0.09,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.80,921600.00
25,1280,195,300,40,0.08,"Support;Tech","CRM;AI;WFM",4.9,0.81,1036800.00
27,1400,190,320,38,0.08,"Support;Sales","CRM;AI;WFM",4.9,0.82,1152000.00
29,1520,185,340,36,0.07,"Support;Tech","CRM;AI;WFM",5.0,0.83,1267200.00
31,1640,180,360,35,0.07,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.84,1382400.00
33,1760,175,380,34,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.85,1497600.00
35,1880,170,400,33,0.06,"Support;Sales","CRM;AI;WFM",5.0,0.86,1612800.00
37,2000,165,420,32,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.87,1728000.00
39,2120,160,440,31,0.05,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.88,1843200.00
41,2240,155,460,30,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.89,1958400.00
43,2360,150,480,30,0.05,"Support;Sales","CRM;AI;WFM",5.0,0.90,2073600.00
45,2480,148,500,30,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.91,2188800.00
47,2600,146,520,30,0.04,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.92,2304000.00
49,2720,144,540,30,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.93,2419200.00
51,2840,142,560,30,0.04,"Support;Sales","CRM;AI;WFM",5.0,0.94,2534400.00
53,2960,140,580,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.95,2649600.00
55,3080,138,600,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.96,2764800.00
57,3200,136,620,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.97,2880000.00
59,3320,134,640,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,0.98,2995200.00
61,3440,132,660,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.99,3110400.00
63,3560,130,680,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3225600.00
4,95,410,48,112,0.27,"Sales","None",3.6,0.44,86400.00
6,130,360,72,98,0.23,"Support;Sales","CRM",3.8,0.52,144000.00
8,170,330,96,88,0.20,"Support;Tech","CRM;IVR",4.0,0.57,216000.00
10,210,310,120,80,0.18,"Support;Sales","CRM;WFM",4.1,0.60,288000.00
12,250,295,144,76,0.17,"Support;Tech","CRM;AI",4.2,0.62,360000.00
14,290,285,168,74,0.16,"Support;Sales;Tech","CRM;AI;WFM",4.3,0.64,432000.00
16,330,275,192,72,0.15,"Support;Tech","CRM;AI;WFM",4.3,0.65,504000.00
18,370,265,216,70,0.14,"Support;Sales","CRM;AI;WFM",4.4,0.66,576000.00
20,410,255,240,68,0.13,"Support;Tech","CRM;AI;WFM",4.4,0.67,648000.00
22,450,245,264,66,0.12,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.68,720000.00
24,490,235,288,64,0.12,"Support;Tech","CRM;AI;WFM",4.5,0.69,792000.00
26,530,225,312,62,0.11,"Support;Sales","CRM;AI;WFM",4.6,0.70,864000.00
28,570,215,336,60,0.11,"Support;Tech","CRM;AI;WFM",4.6,0.71,936000.00
30,610,205,360,58,0.10,"Support;Sales;Tech","CRM;AI;WFM",4.6,0.72,1008000.00
32,650,200,384,56,0.10,"Support;Tech","CRM;AI;WFM",4.7,0.73,1080000.00
34,690,195,408,54,0.09,"Support;Sales","CRM;AI;WFM",4.7,0.74,1152000.00
36,730,190,432,52,0.09,"Support;Tech","CRM;AI;WFM",4.7,0.75,1224000.00
38,770,185,456,50,0.08,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.76,1296000.00
40,810,180,480,48,0.08,"Support;Tech","CRM;AI;WFM",4.8,0.77,1368000.00
42,850,175,504,46,0.08,"Support;Sales","CRM;AI;WFM",4.8,0.78,1440000.00
44,890,170,528,44,0.07,"Support;Tech","CRM;AI;WFM",4.9,0.79,1512000.00
46,930,165,552,42,0.07,"Support;Sales;Tech","CRM;AI;WFM",4.9,0.80,1584000.00
48,970,160,576,40,0.07,"Support;Tech","CRM;AI;WFM",4.9,0.81,1656000.00
50,1010,155,600,38,0.06,"Support;Sales","CRM;AI;WFM",5.0,0.82,1728000.00
52,1050,150,624,36,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.83,1800000.00
54,1090,148,648,35,0.06,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.84,1872000.00
56,1130,146,672,34,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.85,1944000.00
58,1170,144,696,33,0.05,"Support;Sales","CRM;AI;WFM",5.0,0.86,2016000.00
60,1210,142,720,32,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.87,2088000.00
62,1250,140,744,31,0.05,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.88,2160000.00
64,1290,138,768,30,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.89,2232000.00
66,1330,136,792,30,0.04,"Support;Sales","CRM;AI;WFM",5.0,0.90,2304000.00
68,1370,134,816,30,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.91,2376000.00
70,1410,132,840,30,0.04,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.92,2448000.00
72,1450,130,864,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.93,2520000.00
74,1490,128,888,30,0.03,"Support;Sales","CRM;AI;WFM",5.0,0.94,2592000.00
76,1530,126,912,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.95,2664000.00
78,1570,124,936,30,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.96,2736000.00
80,1610,122,960,30,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.97,2808000.00
82,1650,120,984,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,0.98,2880000.00
84,1690,118,1008,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,0.99,2952000.00
86,1730,116,1032,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3024000.00
88,1770,114,1056,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3096000.00
90,1810,112,1080,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,3168000.00
92,1850,110,1104,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3240000.00
94,1890,108,1128,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3312000.00
96,1930,106,1152,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3384000.00
98,1970,104,1176,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,3456000.00
100,2010,102,1200,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3528000.00
102,2050,100,1224,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3600000.00
104,2090,98,1248,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3672000.00
106,2130,96,1272,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,3744000.00
108,2170,94,1296,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3816000.00
110,2210,92,1320,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,3888000.00
112,2250,90,1344,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,3960000.00
114,2290,88,1368,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,4032000.00
116,2330,86,1392,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4104000.00
118,2370,84,1416,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,4176000.00
120,2410,82,1440,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4248000.00
122,2450,80,1464,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,4320000.00
124,2490,78,1488,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4392000.00
126,2530,76,1512,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,4464000.00
128,2570,74,1536,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4536000.00
130,2610,72,1560,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,4608000.00
132,2650,70,1584,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4680000.00
134,2690,68,1608,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,4752000.00
136,2730,66,1632,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,4824000.00
138,2770,64,1656,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,4896000.00
